Accessories	3.6645569620253164
Active Life	3.961206896551724
Acupuncture	4.7
Addiction Medicine	4.5
Adult	3.5555555555555554
Adult Education	3.6666666666666665
Adult Entertainment	2.5
Afghan	4.0
African	4.2272727272727275
Airlines	4.0
Airport Lounges	4.0
Airport Shuttles	3.9
Airports	3.3333333333333335
American (New)	3.638888888888889
American (Traditional)	3.4651162790697674
Amusement Parks	4.0
Animal Shelters	3.625
Antiques	4.125
Apartments	4.0
Appliances	3.25
Appliances & Repair	3.5
Aquariums	3.5
Arcades	3.875
Argentine	3.75
Art Galleries	4.257575757575758
Art Schools	3.5
Art Space Rentals	4.0
Art Supplies	4.071428571428571
Arts & Crafts	3.954022988505747
Arts & Entertainment	3.997448979591837
Asian Fusion	3.6666666666666665
Auto Detailing	4.5
Auto Parts & Supplies	4.0
Auto Repair	3.4166666666666665
Automotive	3.269230769230769
Baby Gear & Furniture	4.666666666666667
Bagels	3.8181818181818183
Bakeries	4.0397727272727275
Bangladeshi	3.9375
Banks & Credit Unions	3.0
Barbeque	4.035714285714286
Barbers	3.888888888888889
Bars	3.6256410256410256
Basque	3.4
Beaches	3.5
Beauty & Spas	3.9426605504587156
Bed & Breakfast	4.4375
Beer	3.9146341463414633
Beer Bar	4.0
Beer Gardens	3.5
Beer Tours	4.5
Belgian	4.25
Bespoke Clothing	4.0
Bicycles	5.0
Bike Rentals	4.0
Bike Repair	5.0
Bike Repair/Maintenance	4.375
Bikes	3.6875
Bistros	3.782608695652174
Blow Dry/Out Services	4.5
Boat Charters	4.25
Boat Tours	4.0
Boating	4.0
Body Shops	4.5
Books	3.8313253012048194
Bookstores	3.9404761904761907
Botanical Gardens	4.5
Bowling	3.3
Brasseries	3.8484848484848486
Brazilian	3.8
Breakfast & Brunch	3.941860465116279
Breweries	4.05
Brewing Supplies	4.5
Bridal	3.85
British	3.8405405405405406
Bubble Tea	4.125
Buffets	3.7083333333333335
Burgers	3.5925925925925926
Bus Tours	3.6666666666666665
Buses	4.0
Butcher	4.166666666666667
Cafes	4.022012578616352
Cafeteria	3.25
Campgrounds	4.0
Canadian (New)	4.5
Candle Stores	4.0
Candy Stores	4.066666666666666
Cantonese	3.9
Car Dealers	2.1
Car Rental	2.566666666666667
Car Wash	2.875
Cards & Stationery	3.84375
Caribbean	3.5
Carpenters	4.0
Carpet Installation	3.5
Carpeting	3.75
Casinos	3.5
Castles	4.0
Caterers	4.230769230769231
Ceremonial Clothing	3.5
Champagne Bars	3.7
Check Cashing/Pay-day Loans	3.0
Cheese Shops	4.428571428571429
Chicken Shop	4.5
Chicken Wings	3.642857142857143
Child Care & Day Care	2.75
Children's Clothing	3.7666666666666666
Chinese	3.6021505376344085
Chiropractors	4.666666666666667
Chocolatiers & Shops	4.159090909090909
Choirs	4.25
Christmas Markets	3.5
Churches	4.277777777777778
Cinema	3.7
Climbing	4.25
Clothing Rental	1.5
Cocktail Bars	3.895348837209302
Coffee & Tea	3.9080188679245285
Coffee & Tea Supplies	4.666666666666667
Coffee Roasteries	4.0
Colleges & Universities	3.869565217391304
Comedy Clubs	3.625
Comic Books	4.1
Community Service/Non-Profit	3.8793103448275863
Computers	3.5
Concept Shops	4.5
Contractors	4.333333333333333
Convenience Stores	3.453125
Cosmetic Dentists	3.625
Cosmetics & Beauty Supply	3.9305555555555554
Costumes	3.75
Country Clubs	4.0
Couriers & Delivery Services	3.5
Creperies	4.0
Cultural Center	4.25
Cupcakes	4.666666666666667
Currency Exchange	4.0
DJs	3.5
Dance Clubs	3.122448979591837
Dance Schools	4.5
Dance Studios	3.25
Day Spas	4.0227272727272725
Delicatessen	4.342105263157895
Delis	4.0285714285714285
Dentists	3.730769230769231
Department Stores	3.5344827586206895
Dermatologists	3.75
Desserts	4.121951219512195
Dim Sum	3.7
Diners	4.035714285714286
Discount Store	3.2
Distilleries	4.5
Dive Bars	3.125
Do-It-Yourself Food	4.0
Doctors	3.8
Dog Parks	4.5
Dog Walkers	4.5
Donuts	4.0
Driving Schools	5.0
Drugstores	3.739130434782609
Dry Cleaning	2.25
Dry Cleaning & Laundry	3.8333333333333335
Eastern European	4.5
Education	4.095238095238095
Educational Services	5.0
Electricians	3.6666666666666665
Electronics	3.5961538461538463
Electronics Repair	4.0
Engraving	4.5
Environmental Abatement	5.0
Ethiopian	4.0
Ethnic Food	4.078947368421052
